Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Gerhard	Kasprzak	Iglasta	196	2	P4 Sp. z o.o. (Play)	Szczecin	584409520	Gerhard.Kasprzak@wp.pl	15-847	Kasprzak	(2,'Gerhard','Kasprzak','P4 Sp. z o.o. (Play)','Iglasta','Szczecin','15-847','584409520','Gerhard.Kasprzak@wp.pl','Kasprzak'),	'	,						P4 Sp. z o.o. (Play)
Roland	Wilczyñski	Daszyñskiego	43	2	Totalizator Sportowy Sp. z o.o.	Szczecinek	531286407	Roland.Wilczyñski@poczta.onet.pl	15-836	Wilczyñski	(2,'Roland','Wilczyñski','Totalizator Sportowy Sp. z o.o.','Daszyñskiego','Szczecinek','15-836','531286407','Roland.Wilczyñski@poczta.onet.pl','Wilczyñski'),	'	,						Totalizator Sportowy Sp. z o.o.
Euzebiusz	Grzelak	Paderewskiego	121	2	BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.	Œwidwin	592522592	Euzebiusz.Grzelak@o2.pl	15-685	Grzelak	(2,'Euzebiusz','Grzelak','BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.','Paderewskiego','Œwidwin','15-685','592522592','Euzebiusz.Grzelak@o2.pl','Grzelak'),	'	,						BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.
Hipolit	Socha	I³¿ecka	82	2	Selgros Sp. z o.o.	Œwinoujœcie	506149459	Hipolit.Socha@interia.pl	15-534	Socha	(2,'Hipolit','Socha','Selgros Sp. z o.o.','I³¿ecka','Œwinoujœcie','15-534','506149459','Hipolit.Socha@interia.pl','Socha'),	'	,						Selgros Sp. z o.o.
Filip	Czajka	Malczewskiego	190	2	Grupa Anwil SA	Trzebiatów	524516560	Filip.Czajka@op.pl	15-671	Czajka	(2,'Filip','Czajka','Grupa Anwil SA','Malczewskiego','Trzebiatów','15-671','524516560','Filip.Czajka@op.pl','Czajka'),	'	,						Grupa Anwil SA
Nikodem	Marek	Prendowskiej	75	1		Wa³cz	590310376	Nikodem.Marek@tlen.pl	15-411	Marek	(1,'Nikodem','Marek','','Prendowskiej','Wa³cz','15-411','590310376','Nikodem.Marek@tlen.pl','Marek'),	'	,						Electrolux Poland Sp. z o.o.
Miron	Kowal	Jagielloñska	198	2	JTI Polska Sp. z o.o.	Z³ocieniec	526133500	Miron.Kowal@gmail.com	15-587	Kowal	(2,'Miron','Kowal','JTI Polska Sp. z o.o.','Jagielloñska','Z³ocieniec','15-587','526133500','Miron.Kowal@gmail.com','Kowal'),	'	,						JTI Polska Sp. z o.o.
Bonifacy	Bednarczyk	Jagodowa	120	1		Pionki	535423319	Bonifacy.Bednarczyk@poczta.fm	15-645	Bednarczyk	(1,'Bonifacy','Bednarczyk','','Jagodowa','Pionki','15-645','535423319','Bonifacy.Bednarczyk@poczta.fm','Bednarczyk'),	'	,						Grupa Valeo
Werner	Skiba	Ja³owcowa	98	2	¯abka Polska Sp. z o. o.	Brwinów	507106164	Werner.Skiba@gazeta.pl	15-345	Skiba	(2,'Werner','Skiba','¯abka Polska Sp. z o. o.','Ja³owcowa','Brwinów','15-345','507106164','Werner.Skiba@gazeta.pl','Skiba'),	'	,						¯abka Polska Sp. z o. o.
Eligiusz	Wrona	Paska	16	2	PLL LOT SA	Ciechanów	571447163	Eligiusz.Wrona@go2.pl	15-234	Wrona	(2,'Eligiusz','Wrona','PLL LOT SA','Paska','Ciechanów','15-234','571447163','Eligiusz.Wrona@go2.pl','Wrona'),	'	,						PLL LOT SA
Wawrzyniec	Owczarek	Œniadeckich	150	1		Garwolin	584493543	Wawrzyniec.Owczarek@yahoo.com	15-398	Owczarek	(1,'Wawrzyniec','Owczarek','','Œniadeckich','Garwolin','15-398','584493543','Wawrzyniec.Owczarek@yahoo.com','Owczarek'),	'	,						Indesit Company Polska Sp. z o.o.
Kamil	Marcinkowski	Karskiego	81	2	Orlen PetroTank Sp. z o.o.	Gostynin	560432193	Kamil.Marcinkowski@hotmail.com	15-371	Marcinkowski	(2,'Kamil','Marcinkowski','Orlen PetroTank Sp. z o.o.','Karskiego','Gostynin','15-371','560432193','Kamil.Marcinkowski@hotmail.com','Marcinkowski'),	'	,						Orlen PetroTank Sp. z o.o.
£ucjan	Matusiak	Kasprowicza	76	2	Grupa Bumar	Góra Kalwaria	571200154	£ucjan.Matusiak@vp.pl	15-649	Matusiak	(2,'£ucjan','Matusiak','Grupa Bumar','Kasprowicza','Góra Kalwaria','15-649','571200154','£ucjan.Matusiak@vp.pl','Matusiak'),	'	,						Grupa Bumar
Olgierd	Orzechowski	Kiepury	26	1		Grodzisk Mazowiecki	529219101	Olgierd.Orzechowski@wp.pl	15-779	Orzechowski	(1,'Olgierd','Orzechowski','','Kiepury','Grodzisk Mazowiecki','15-779','529219101','Olgierd.Orzechowski@wp.pl','Orzechowski'),	'	,						GK NFI Empik Media&Fashion SA
Arnold	Sobolewski	Kochanowskiego	53	1		Grójec	598198273	Arnold.Sobolewski@poczta.onet.pl	15-484	Sobolewski	(1,'Arnold','Sobolewski','','Kochanowskiego','Grójec','15-484','598198273','Arnold.Sobolewski@poczta.onet.pl','Sobolewski'),	'	,						PKP Energetyka SA
Jacenty	Kêdzierski	Matejki	32	2	GK LPP SA	Józefów	509388182	Jacenty.Kêdzierski@o2.pl	15-300	Kêdzierski	(2,'Jacenty','Kêdzierski','GK LPP SA','Matejki','Józefów','15-300','509388182','Jacenty.Kêdzierski@o2.pl','Kêdzierski'),	'	,						GK LPP SA
Dawid	Kurowski	Nowaka-Jeziorañskiego	176	2	SM Mlekpol	Karczew	582337194	Dawid.Kurowski@interia.pl	15-452	Kurowski	(2,'Dawid','Kurowski','SM Mlekpol','Nowaka-Jeziorañskiego','Karczew','15-452','582337194','Dawid.Kurowski@interia.pl','Kurowski'),	'	,						SM Mlekpol
Ewald	Rogowski	Jana Paw³a II	14	1		Koby³ka	575522253	Ewald.Rogowski@op.pl	15-711	Rogowski	(1,'Ewald','Rogowski','','Jana Paw³a II','Koby³ka','15-711','575522253','Ewald.Rogowski@op.pl','Rogowski'),	'	,						GK Mostostal Warszawa SA
Manfred	Olejnik	Samsonowicza	130	1		Konstancin-Jeziorna	502235534	Manfred.Olejnik@tlen.pl	15-349	Olejnik	(1,'Manfred','Olejnik','','Samsonowicza','Konstancin-Jeziorna','15-349','502235534','Manfred.Olejnik@tlen.pl','Olejnik'),	'	,						Unilever Polska
Emilian	Dêbski	Styki	18	1		Kozienice	515585532	Emilian.Dêbski@gmail.com	15-835	Dêbski	(1,'Emilian','Dêbski','','Styki','Kozienice','15-835','515585532','Emilian.Dêbski@gmail.com','Dêbski'),	'	,						CMC Poland Sp. z o.o.
Klaudiusz	Barañski	Janczarska	139	2	Grupa Mlekovita	Legionowo	578580159	Klaudiusz.Barañski@poczta.fm	15-304	Barañski	(2,'Klaudiusz','Barañski','Grupa Mlekovita','Janczarska','Legionowo','15-304','578580159','Klaudiusz.Barañski@poczta.fm','Barañski'),	'	,						Grupa Mlekovita
Zbys³aw	Skowroñski	Janowska	53	1		£omianki	521130132	Zbys³aw.Skowroñski@gazeta.pl	15-673	Skowroñski	(1,'Zbys³aw','Skowroñski','','Janowska','£omianki','15-673','521130132','Zbys³aw.Skowroñski@gazeta.pl','Skowroñski'),	'	,						Flextronics International Poland Sp. z o.o.
Igor	Mazurkiewicz	Kusociñskiego	61	1		Maków Mazowiecki	512191206	Igor.Mazurkiewicz@go2.pl	15-956	Mazurkiewicz	(1,'Igor','Mazurkiewicz','','Kusociñskiego','Maków Mazowiecki','15-956','512191206','Igor.Mazurkiewicz@go2.pl','Mazurkiewicz'),	'	,						GK Inter Cars SA
Benon	Paj¹k	Jaroñskich	112	2	Grupa Maspex Wadowice	Marki	565193520	Benon.Paj¹k@yahoo.com	15-289	Paj¹k	(2,'Benon','Paj¹k','Grupa Maspex Wadowice','Jaroñskich','Marki','15-289','565193520','Benon.Paj¹k@yahoo.com','Paj¹k'),	'	,						Grupa Maspex Wadowice
Jêdrzej	Czech	Jarz¹bek	168	1		Milanówek	507462245	Jêdrzej.Czech@hotmail.com	15-834	Czech	(1,'Jêdrzej','Czech','','Jarz¹bek','Milanówek','15-834','507462245','Jêdrzej.Czech@hotmail.com','Czech'),	'	,						GK Soko³ów SA
Wit	Janiszewski	Jarzêbinowa	186	2	EdF Paliwa Sp. z o.o.	Miñsk Mazowiecki	578213444	Wit.Janiszewski@vp.pl	15-892	Janiszewski	(2,'Wit','Janiszewski','EdF Paliwa Sp. z o.o.','Jarzêbinowa','Miñsk Mazowiecki','15-892','578213444','Wit.Janiszewski@vp.pl','Janiszewski'),	'	,						EdF Paliwa Sp. z o.o.
Hilary	Bednarski	Jarzynowa	85	2	Ferrero Polska Sp. z o.o.	Nasielsk	538263193	Hilary.Bednarski@wp.pl	15-715	Bednarski	(2,'Hilary','Bednarski','Ferrero Polska Sp. z o.o.','Jarzynowa','Nasielsk','15-715','538263193','Hilary.Bednarski@wp.pl','Bednarski'),	'	,						Ferrero Polska Sp. z o.o.
Apolinary	£ukasik	Jaskó³cza	45	1		Nowy Dwór Mazowiecki	573545533	Apolinary.£ukasik@poczta.onet.pl	15-690	£ukasik	(1,'Apolinary','£ukasik','','Jaskó³cza','Nowy Dwór Mazowiecki','15-690','573545533','Apolinary.£ukasik@poczta.onet.pl','£ukasik'),	'	,						Nestle Polska SA
Fabian	Chrzanowski	Jasna	149	1		Ostro³êka	578572289	Fabian.Chrzanowski@o2.pl	15-637	Chrzanowski	(1,'Fabian','Chrzanowski','','Jasna','Ostro³êka','15-637','578572289','Fabian.Chrzanowski@o2.pl','Chrzanowski'),	'	,						GK Cyfrowy Polsat SA
Zenobiusz	Bukowski	Jaœminowa	19	2	E.Leclerc Polska	Otwock	579524454	Zenobiusz.Bukowski@interia.pl	15-829	Bukowski	(2,'Zenobiusz','Bukowski','E.Leclerc Polska','Jaœminowa','Otwock','15-829','579524454','Zenobiusz.Bukowski@interia.pl','Bukowski'),	'	,						E.Leclerc Polska
Horst	Leœniak	Jaworowa	165	2	GK Zespo³u Elektrowni P¹tnów-Adamów-Konin SA	Piaseczno	547512195	Horst.Leœniak@op.pl	15-337	Leœniak	(2,'Horst','Leœniak','GK Zespo³u Elektrowni P¹tnów-Adamów-Konin SA','Jaworowa','Piaseczno','15-337','547512195','Horst.Leœniak@op.pl','Leœniak'),	'	,						GK Zespo³u Elektrowni P¹tnów-Adamów-Konin SA
Gerhard	Cieœlik	Jeleniowska	49	1		Pionki	533431390	Gerhard.Cieœlik@tlen.pl	15-578	Cieœlik	(1,'Gerhard','Cieœlik','','Jeleniowska','Pionki','15-578','533431390','Gerhard.Cieœlik@tlen.pl','Cieœlik'),	'	,						BASF w Polsce
Roland	Kosiñski	Puscha	19	2	Wêglokoks SA	P³ock	549420396	Roland.Kosiñski@gmail.com	15-652	Kosiñski	(2,'Roland','Kosiñski','Wêglokoks SA','Puscha','P³ock','15-652','549420396','Roland.Kosiñski@gmail.com','Kosiñski'),	'	,						Wêglokoks SA
Euzebiusz	Jêdrzejewski	Jesionowa	96	2	Zak³ady T³uszczowe Kruszwica SA	P³oñsk	526203108	Euzebiusz.Jêdrzejewski@poczta.fm	15-361	Jêdrzejewski	(2,'Euzebiusz','Jêdrzejewski','Zak³ady T³uszczowe Kruszwica SA','Jesionowa','P³oñsk','15-361','526203108','Euzebiusz.Jêdrzejewski@poczta.fm','Jêdrzejewski'),	'	,						Zak³ady T³uszczowe Kruszwica SA
Hipolit	Muszyñski	Jeziorko	67	1		Pruszków	596577122	Hipolit.Muszyñski@gazeta.pl	15-233	Muszyñski	(1,'Hipolit','Muszyñski','','Jeziorko','Pruszków','15-233','596577122','Hipolit.Muszyñski@gazeta.pl','Muszyñski'),	'	,						GK Mennicy Polskiej SA
Filip	Œwi¹tek	Jêdrusiów	142	2	PHP Polski Tytoñ SA	Przasnysz	549117306	Filip.Œwi¹tek@go2.pl	15-829	Œwi¹tek	(2,'Filip','Œwi¹tek','PHP Polski Tytoñ SA','Jêdrusiów','Przasnysz','15-829','549117306','Filip.Œwi¹tek@go2.pl','Œwi¹tek'),	'	,						PHP Polski Tytoñ SA
	Kozie³	Jêdrzejowska	96	1		Przysucha	541321201	.Kozie³@yahoo.com	15-364	Kozie³	(1,'','Kozie³','','Jêdrzejowska','Przysucha','15-364','541321201','.Kozie³@yahoo.com','Kozie³'),	'	,						Celsa Huta Ostrowiec Sp. z o.o.
Sylwester	Osiñski	Jod³owa	200	1		Pu³tusk	526303395	Sylwester.Osiñski@hotmail.com	15-442	Osiñski	(1,'Sylwester','Osiñski','','Jod³owa','Pu³tusk','15-442','526303395','Sylwester.Osiñski@hotmail.com','Osiñski'),	'	,						GK Arctic Paper SA
Lucjan	Czaja	Brandta	49	2	GK Impexmetal SA	Radom	553289494	Lucjan.Czaja@vp.pl	15-569	Czaja	(2,'Lucjan','Czaja','GK Impexmetal SA','Brandta','Radom','15-569','553289494','Lucjan.Czaja@vp.pl','Czaja'),	'	,						GK Impexmetal SA
Julian	Lisowski	Che³moñskiego	120	1		Radzymin	554528229	Julian.Lisowski@wp.pl	15-379	Lisowski	(1,'Julian','Lisowski','','Che³moñskiego','Radzymin','15-379','554528229','Julian.Lisowski@wp.pl','Lisowski'),	'	,						RWE Polska SA
Wiktor	Kuczyñski	Elsnera	170	2	Mondi Œwiecie SA	Pionki	525534161	Wiktor.Kuczyñski@poczta.onet.pl	15-776	Kuczyñski	(2,'Wiktor','Kuczyñski','Mondi Œwiecie SA','Elsnera','Pionki','15-776','525534161','Wiktor.Kuczyñski@poczta.onet.pl','Kuczyñski'),	'	,						Mondi Œwiecie SA
Romuald	¯ukowski	Szermentowskiego	36	1		Brwinów	562317282	Romuald.¯ukowski@o2.pl	15-726	¯ukowski	(1,'Romuald','¯ukowski','','Szermentowskiego','Brwinów','15-726','562317282','Romuald.¯ukowski@o2.pl','¯ukowski'),	'	,						Avon Operations Polska Sp. z o.o.
Bernard	Grzybowski	Zaorskiego	143	1		Ciechanów	568252561	Bernard.Grzybowski@interia.pl	15-321	Grzybowski	(1,'Bernard','Grzybowski','','Zaorskiego','Ciechanów','15-321','568252561','Bernard.Grzybowski@interia.pl','Grzybowski'),	'	,						Anwim SA
Ludwik	Kwiecieñ	Fa³ata	13	2	TRW Polska Sp. z o.o.	Garwolin	575163200	Ludwik.Kwiecieñ@op.pl	15-816	Kwiecieñ	(2,'Ludwik','Kwiecieñ','TRW Polska Sp. z o.o.','Fa³ata','Garwolin','15-816','575163200','Ludwik.Kwiecieñ@op.pl','Kwiecieñ'),	'	,						TRW Polska Sp. z o.o.
Feliks	Pluta	Tuwima	124	2	Mercedes-Benz Polska Sp. z o.o.	Gostynin	562468115	Feliks.Pluta@tlen.pl	15-814	Pluta	(2,'Feliks','Pluta','Mercedes-Benz Polska Sp. z o.o.','Tuwima','Gostynin','15-814','562468115','Feliks.Pluta@tlen.pl','Pluta'),	'	,						Mercedes-Benz Polska Sp. z o.o.
Alfred	Morawski	S³owackiego	156	1		Góra Kalwaria	533401423	Alfred.Morawski@gmail.com	15-564	Morawski	(1,'Alfred','Morawski','','S³owackiego','Góra Kalwaria','15-564','533401423','Alfred.Morawski@gmail.com','Morawski'),	'	,						Grupa TZMO SA
Alojzy	Czy¿	Jurajska	174	2	International Paper - Kwidzyn Sp. z o. o.	Grodzisk Mazowiecki	503327511	Alojzy.Czy¿@poczta.fm	15-576	Czy¿	(2,'Alojzy','Czy¿','International Paper - Kwidzyn Sp. z o. o.','Jurajska','Grodzisk Mazowiecki','15-576','503327511','Alojzy.Czy¿@poczta.fm','Czy¿'),	'	,						International Paper - Kwidzyn Sp. z o. o.
Przemys³aw	Sobczyk	Kaczowa	137	2	Glencore Polska Sp. z o.o.	Grójec	524514456	Przemys³aw.Sobczyk@gazeta.pl	15-256	Sobczyk	(2,'Przemys³aw','Sobczyk','Glencore Polska Sp. z o.o.','Kaczowa','Grójec','15-256','524514456','Przemys³aw.Sobczyk@gazeta.pl','Sobczyk'),	'	,						Glencore Polska Sp. z o.o.
Cezary	Augustyniak	Kalcytowa	135	1		Józefów	527299406	Cezary.Augustyniak@go2.pl	15-984	Augustyniak	(1,'Cezary','Augustyniak','','Kalcytowa','Józefów','15-984','527299406','Cezary.Augustyniak@go2.pl','Augustyniak'),	'	,						Netto Sp. z o.o.
Daniel	Rybak	Kalinowa	67	1		Karczew	598419492	Daniel.Rybak@yahoo.com	15-765	Rybak	(1,'Daniel','Rybak','','Kalinowa','Karczew','15-765','598419492','Daniel.Rybak@yahoo.com','Rybak'),	'	,						AmRest Holdings SE
Miko³aj	Krzemiñski	Kamienna	33	1		Koby³ka	572562550	Miko³aj.Krzemiñski@hotmail.com	15-317	Krzemiñski	(1,'Miko³aj','Krzemiñski','','Kamienna','Koby³ka','15-317','572562550','Miko³aj.Krzemiñski@hotmail.com','Krzemiñski'),	'	,						ThyssenKrupp Energostal SA
Ignacy	Marzec	Raginisa	102	2	Slovnaft-Polska SA	Konstancin-Jeziorna	585502270	Ignacy.Marzec@vp.pl	15-439	Marzec	(2,'Ignacy','Marzec','Slovnaft-Polska SA','Raginisa','Konstancin-Jeziorna','15-439','585502270','Ignacy.Marzec@vp.pl','Marzec'),	'	,						Slovnaft-Polska SA
Les³aw	Konieczny	Kapitulna	148	2	Grupa Magneti Marelli w Polsce	Kozienice	574129169	Les³aw.Konieczny@wp.pl	15-401	Konieczny	(2,'Les³aw','Konieczny','Grupa Magneti Marelli w Polsce','Kapitulna','Kozienice','15-401','574129169','Les³aw.Konieczny@wp.pl','Konieczny'),	'	,						Grupa Magneti Marelli w Polsce
Rados³aw	Marczak	Karboñska	182	1		Legionowo	540132252	Rados³aw.Marczak@poczta.onet.pl	15-707	Marczak	(1,'Rados³aw','Marczak','','Karboñska','Legionowo','15-707','540132252','Rados³aw.Marczak@poczta.onet.pl','Marczak'),	'	,						Krajowa Spó³ka Cukrowa SA
Konrad	Zych	Karczówkowska	93	2	CNH Polska Sp. z o.o.	£omianki	545433528	Konrad.Zych@o2.pl	15-479	Zych	(2,'Konrad','Zych','CNH Polska Sp. z o.o.','Karczówkowska','£omianki','15-479','545433528','Konrad.Zych@o2.pl','Zych'),	'	,						CNH Polska Sp. z o.o.
Bogumi³	Michalik	Karczunek	175	1		Maków Mazowiecki	546386596	Bogumi³.Michalik@interia.pl	15-994	Michalik	(1,'Bogumi³','Michalik','','Karczunek','Maków Mazowiecki','15-994','546386596','Bogumi³.Michalik@interia.pl','Michalik'),	'	,						EdF Rybnik SA
Szczepan	Micha³owski	Karkonoska	196	1		Marki	508568546	Szczepan.Micha³owski@op.pl	15-370	Micha³owski	(1,'Szczepan','Micha³owski','','Karkonoska','Marki','15-370','508568546','Szczepan.Micha³owski@op.pl','Micha³owski'),	'	,						Volvo Polska Sp. z o.o.
	Kaczor	Kadena	163	1		Milanówek	533297445	.Kaczor@tlen.pl	15-851	Kaczor	(1,'','Kaczor','','Kadena','Milanówek','15-851','533297445','.Kaczor@tlen.pl','Kaczor'),	'	,						Orlen Gaz Sp. z o.o.
Alfons	Œwiderski	Kurpiñskiego	61	2	Elektrownia Po³aniec SA - Grupa GDF Suez Energia Polska	Miñsk Mazowiecki	552542278	Alfons.Œwiderski@gmail.com	15-492	Œwiderski	(2,'Alfons','Œwiderski','Elektrownia Po³aniec SA - Grupa GDF Suez Energia Polska','Kurpiñskiego','Miñsk Mazowiecki','15-492','552542278','Alfons.Œwiderski@gmail.com','Œwiderski'),	'	,						Elektrownia Po³aniec SA - Grupa GDF Suez Energia Polska
Damian	Kubicki	Olszewskiego	134	2	ALSTOM Power Sp. z o.o.	Nasielsk	538202293	Damian.Kubicki@poczta.fm	15-729	Kubicki	(2,'Damian','Kubicki','ALSTOM Power Sp. z o.o.','Olszewskiego','Nasielsk','15-729','538202293','Damian.Kubicki@poczta.fm','Kubicki'),	'	,						ALSTOM Power Sp. z o.o.
Rajmund	Go³êbiowski	Szymanowskiego	92	1		Nowy Dwór Mazowiecki	529327342	Rajmund.Go³êbiowski@gazeta.pl	15-565	Go³êbiowski	(1,'Rajmund','Go³êbiowski','','Szymanowskiego','Nowy Dwór Mazowiecki','15-565','529327342','Rajmund.Go³êbiowski@gazeta.pl','Go³êbiowski'),	'	,						GK Netia SA
Szymon	Paluch	Karpacka	177	2	ABB Sp. z o.o.	Ostro³êka	507487521	Szymon.Paluch@go2.pl	15-625	Paluch	(2,'Szymon','Paluch','ABB Sp. z o.o.','Karpacka','Ostro³êka','15-625','507487521','Szymon.Paluch@go2.pl','Paluch'),	'	,						ABB Sp. z o.o.
Zygfryd	Bia³ek	Kasztanowa	3	1		Otwock	585182339	Zygfryd.Bia³ek@yahoo.com	15-524	Bia³ek	(1,'Zygfryd','Bia³ek','','Kasztanowa','Otwock','15-524','585182339','Zygfryd.Bia³ek@yahoo.com','Bia³ek'),	'	,						GK Polski Koncern Miêsny Duda SA
Leopold	Niemiec	Kaznowskiego	191	2	GK Kopex SA	Piaseczno	588542413	Leopold.Niemiec@hotmail.com	15-485	Niemiec	(2,'Leopold','Niemiec','GK Kopex SA','Kaznowskiego','Piaseczno','15-485','588542413','Leopold.Niemiec@hotmail.com','Niemiec'),	'	,						GK Kopex SA
Remigiusz	Sroka	Smolaka	104	2	Grupa Raben	Pionki	542593111	Remigiusz.Sroka@vp.pl	15-612	Sroka	(2,'Remigiusz','Sroka','Grupa Raben','Smolaka','Pionki','15-612','542593111','Remigiusz.Sroka@vp.pl','Sroka'),	'	,						Grupa Raben
Florian	Stefaniak	K¹pielowa	21	2	Grupa Sanofi w Polsce	P³ock	571128277	Florian.Stefaniak@wp.pl	15-893	Stefaniak	(2,'Florian','Stefaniak','Grupa Sanofi w Polsce','K¹pielowa','P³ock','15-893','571128277','Florian.Stefaniak@wp.pl','Stefaniak'),	'	,						Grupa Sanofi w Polsce
Konstanty	Cybulski	Klecka	111	2	Firma Oponiarska Dêbica SA	P³oñsk	586217199	Konstanty.Cybulski@poczta.onet.pl	15-447	Cybulski	(2,'Konstanty','Cybulski','Firma Oponiarska Dêbica SA','Klecka','P³oñsk','15-447','586217199','Konstanty.Cybulski@poczta.onet.pl','Cybulski'),	'	,						Firma Oponiarska Dêbica SA
Augustyn	Kacprzak	Klonowa	24	2	Polska Grupa Supermarketów Sp. z o.o.	Pruszków	535202297	Augustyn.Kacprzak@o2.pl	15-781	Kacprzak	(2,'Augustyn','Kacprzak','Polska Grupa Supermarketów Sp. z o.o.','Klonowa','Pruszków','15-781','535202297','Augustyn.Kacprzak@o2.pl','Kacprzak'),	'	,						Polska Grupa Supermarketów Sp. z o.o.
Albin	Marsza³ek	Kocka	159	2	Toyota Motor Manufacturing Poland Sp. z o.o.	Przasnysz	501452158	Albin.Marsza³ek@interia.pl	15-819	Marsza³ek	(2,'Albin','Marsza³ek','Toyota Motor Manufacturing Poland Sp. z o.o.','Kocka','Przasnysz','15-819','501452158','Albin.Marsza³ek@interia.pl','Marsza³ek'),	'	,						Toyota Motor Manufacturing Poland Sp. z o.o.
Bohdan	Kasprzyk	Kolejarzy	144	1		Przysucha	559524428	Bohdan.Kasprzyk@op.pl	15-405	Kasprzyk	(1,'Bohdan','Kasprzyk','','Kolejarzy','Przysucha','15-405','559524428','Bohdan.Kasprzyk@op.pl','Kasprzyk'),	'	,						Emperia Holding SA
Dominik	Ma³ek	Kolonia	30	2	GK ACP Pharma SA	Pu³tusk	511342516	Dominik.Ma³ek@tlen.pl	15-885	Ma³ek	(2,'Dominik','Ma³ek','GK ACP Pharma SA','Kolonia','Pu³tusk','15-885','511342516','Dominik.Ma³ek@tlen.pl','Ma³ek'),	'	,						GK ACP Pharma SA
Gabriel	Szyd³owski	Konecka	155	1		Radom	500428582	Gabriel.Szyd³owski@gmail.com	15-934	Szyd³owski	(1,'Gabriel','Szyd³owski','','Konecka','Radom','15-934','500428582','Gabriel.Szyd³owski@gmail.com','Szyd³owski'),	'	,						Barter SA
Teofil	Smoliñski	Kongresowa	128	2	Ikea Retail Sp. z o.o.	Radzymin	599520196	Teofil.Smoliñski@poczta.fm	15-358	Smoliñski	(2,'Teofil','Smoliñski','Ikea Retail Sp. z o.o.','Kongresowa','Radzymin','15-358','599520196','Teofil.Smoliñski@poczta.fm','Smoliñski'),	'	,						Ikea Retail Sp. z o.o.
Brunon	Kujawa	Ga³czyñskiego	104	1		Pionki	570179346	Brunon.Kujawa@gazeta.pl	15-862	Kujawa	(1,'Brunon','Kujawa','','Ga³czyñskiego','Pionki','15-862','570179346','Brunon.Kujawa@gazeta.pl','Kujawa'),	'	,						Grupa Firm Farmutil
Juliusz	Lewicki	Miodowicza	189	1		Brwinów	567446268	Juliusz.Lewicki@go2.pl	15-496	Lewicki	(1,'Juliusz','Lewicki','','Miodowicza','Brwinów','15-496','567446268','Juliusz.Lewicki@go2.pl','Lewicki'),	'	,						Renault Polska Sp. z o.o.
Walerian	Przybysz	Koñcowa	11	1		Ciechanów	527485202	Walerian.Przybysz@yahoo.com	15-435	Przybysz	(1,'Walerian','Przybysz','','Koñcowa','Ciechanów','15-435','527485202','Walerian.Przybysz@yahoo.com','Przybysz'),	'	,						Grupa Bauer Media
Bart³omiej	Stachowiak	Kosynierów	173	1		Garwolin	508241413	Bart³omiej.Stachowiak@hotmail.com	15-639	Stachowiak	(1,'Bart³omiej','Stachowiak','','Kosynierów','Garwolin','15-639','508241413','Bart³omiej.Stachowiak@hotmail.com','Stachowiak'),	'	,						PKP Intercity SA
Fryderyk	Pop³awski	Kozia	180	2	GK PBG SA w upad³oœci uk³adowej	Gostynin	571493173	Fryderyk.Pop³awski@vp.pl	15-643	Pop³awski	(2,'Fryderyk','Pop³awski','GK PBG SA w upad³oœci uk³adowej','Kozia','Gostynin','15-643','571493173','Fryderyk.Pop³awski@vp.pl','Pop³awski'),	'	,						GK PBG SA w upad³oœci uk³adowej
Eryk	Piekarski	Krakowska	52	2	GK Lubelski Wêgiel Bogdanka SA	Góra Kalwaria	505122294	Eryk.Piekarski@wp.pl	15-656	Piekarski	(2,'Eryk','Piekarski','GK Lubelski Wêgiel Bogdanka SA','Krakowska','Góra Kalwaria','15-656','505122294','Eryk.Piekarski@wp.pl','Piekarski'),	'	,						GK Lubelski Wêgiel Bogdanka SA
Anatol	Matysiak	Kredowa	128	1		Grodzisk Mazowiecki	520421366	Anatol.Matysiak@poczta.onet.pl	15-617	Matysiak	(1,'Anatol','Matysiak','','Kredowa','Grodzisk Mazowiecki','15-617','520421366','Anatol.Matysiak@poczta.onet.pl','Matysiak'),	'	,						Henkel Polska Sp. z o.o.
Maksymilian	Janowski	Chrobrego	16	2	Polska ¯egluga Morska PP	Grójec	536120174	Maksymilian.Janowski@o2.pl	15-408	Janowski	(2,'Maksymilian','Janowski','Polska ¯egluga Morska PP','Chrobrego','Grójec','15-408','536120174','Maksymilian.Janowski@o2.pl','Janowski'),	'	,						Polska ¯egluga Morska PP
Gustaw	Murawski	Sobieskiego	116	2	GK Stalprodukt SA	Józefów	557262142	Gustaw.Murawski@interia.pl	15-488	Murawski	(2,'Gustaw','Murawski','GK Stalprodukt SA','Sobieskiego','Józefów','15-488','557262142','Gustaw.Murawski@interia.pl','Murawski'),	'	,						GK Stalprodukt SA
Aleksy	Cichocki	Kazimierza Wielkiego	158	1		Karczew	566578155	Aleksy.Cichocki@op.pl	15-392	Cichocki	(1,'Aleksy','Cichocki','','Kazimierza Wielkiego','Karczew','15-392','566578155','Aleksy.Cichocki@op.pl','Cichocki'),	'	,						GK Remontowa SA
